action,actual_profit,ask,bid,date,deal,entry_time,fast_period,order,price,profit,sl,slow_period,symbol,time,tp,trend,trend_time,type,volume,closed,win
DEAL,0.97,354191.16,354165.85,24/09/2022 01:48,2606769622,M5,8,2630847823,354191.16,1003.95,253796.56,34,Volatility 25 (1s) Index,1663984100.7645705,554980.36,4,M30,BUY,0.005,True,False
DEAL,-1.78,551122.68,551068.34,24/09/2022 01:48,2606769624,M5,8,2630847825,551122.68,1003.32,450719.22,34,Volatility 50 (1s) Index,1663984100.9684453,751785.72,4,M30,BUY,0.005,True,False
DEAL,-0.27,1741.81,1741.693,24/09/2022 01:48,2606769629,M5,8,2630847830,1741.81,1003.56,738.255,34,Volatility 25 Index,1663984100.9694455,3748.92,4,M30,BUY,0.5,True,False
DEAL,0,487136.87,486996.87,False,04/10/2022 00:46,2625211182,M5,8,2649518739,487136.87,942.5,15885.869999999995,34,Volatility 75 Index,1664840789.387432,1429638.87,4,M30,BUY,0.001,False
DEAL,0,342328.23,342302.92,False,04/10/2022 00:51,2625214878,M5,8,2649522533,342328.23,942.29,248099.22999999998,34,Volatility 25 (1s) Index,1664841078.773029,530786.23,4,M30,BUY,0.005,False
DEAL,0,6529.687,6529.525,False,04/10/2022 00:51,2625214885,M5,8,2649522540,6529.687,942.37,4959.457666666666,34,Volatility 10 Index,1664841078.992627,9670.907666666666,4,M30,BUY,0.3,False
DEAL,0,485225.32,485085.32,False,04/10/2022 00:51,2625214896,M5,8,2649522551,485225.32,942.17,13965.159999999974,34,Volatility 75 Index,1664841079.198911,1427400.16,4,M30,BUY,0.001,False
DEAL,0,548267.12,548212.78,False,04/10/2022 00:51,2625214897,M5,8,2649522552,548267.12,942.33,454046.6,34,Volatility 50 (1s) Index,1664841079.207906,736733.6,4,M30,BUY,0.005,False
DEAL,0,8595.69,8595.65,False,04/10/2022 00:51,2625214918,M5,8,2649522573,8595.69,942.26,6239.824999999999,34,Volatility 10 (1s) Index,1664841079.202914,13307.0,4,M30,BUY,0.2,False
DEAL,0,17610.16,17603.97,False,04/10/2022 00:51,2625214891,M5,8,2649522546,17610.16,942.02,15253.065,34,Volatility 100 Index,1664841079.201913,22320.24,4,M30,BUY,0.2,False
DEAL,0,242.3104,242.2819,False,04/10/2022 00:51,2625214898,M5,8,2649522553,242.3104,942.47,85.32146666666668,34,Volatility 50 Index,1664841079.205906,556.4664666666666,4,M30,BUY,3.0,False
DEAL,0,1943.315,1943.198,False,04/10/2022 00:51,2625214908,M5,8,2649522563,1943.315,942.3,1001.0530000000001,34,Volatility 25 Index,1664841079.205906,3827.923,4,M30,BUY,0.5,False
